Part_ID,Part_Name,Equipment_Family_ID,Equipment_Family,Equipment_Model,Part_Category_ID,Part_Category,Demand_Profile,Criticality,Supplier_ID,Supplier_Region,Unit_Cost_EUR,Storage_Type,Lifecycle_Status,Target_Service_Level,Avg_Weekly_Demand_Seed,ABC_Class,Source_Context,Movement_Class,Movement_Lines_36M,Annual_Lines,Avg_Monthly_Lines,Cumulative_Movement_%,Manual_Location,UDC_Type,Dim_X_mm,Dim_Y_mm,Dim_Z_mm,Unit_Volume_cm3,Max_Dimension_mm,Min_Dimension_mm,Stock_Managed,Avg_Daily_Qty,Lead_Time_Weeks,Safety_Stock_Qty,Reorder_Point_Qty,Max_Stock_Qty,Stock_Qty,Total_Qty_36M,Total_Volume_cm3
WB-CON-0672,EM 9000 Rubber Pad,WB,Wheel Balancer,EM 9000,CON,Consumables & service kits,frequent,Medium,SUP-016,EU,20.81,Bin,Active,0.94,4.101,A,Anonymised/reconstructed warehouse transition dataset,A,80,26.7,2.22,42.6,R-M65,D,168,204,127,4353,204,127,1,0.82,1.1,9,14,21,13,640,91413
WB-CON-0005,Eyelight Rubber Pad,WB,Wheel Balancer,Eyelight,CON,Consumables & service kits,frequent,Medium,SUP-009,Italy,13.22,Bin,Active,0.94,4.375,B,Anonymised/reconstructed warehouse transition dataset,A,78,26,2.17,43.84,R-D26,D,133,195,127,3294,195,127,1,0.875,1,10,15,20,18,683,65880
TC-CON-0008,Basic Line TC Grease Cartridge,TC,Tyre Changer,Basic Line TC,CON,Consumables & service kits,frequent,Medium,SUP-007,Eastern Europe,19.02,Bin,Active,0.94,4.134,A,Anonymised/reconstructed warehouse transition dataset,A,59,19.7,1.64,44.77,R-M40,B,23,94,100,216,100,23,1,0.827,1.4,11,17,31,25,645,6696
TC-CON-0213,HD1200 Truck Rubber Pad,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,34.3,Bin,Active,0.94,3.767,A,Anonymised/reconstructed warehouse transition dataset,A,58,19.3,1.61,45.69,R-M36,B,68,26,114,202,114,26,1,0.753,1.6,4,11,18,18,588,3636
TC-CON-0378,Artiglio Master O-Ring Kit,TC,Tyre Changer,Artiglio Master,CON,Consumables & service kits,frequent,High,SUP-016,EU,9.5,Bin,Active,0.97,4.499,B,Anonymised/reconstructed warehouse transition dataset,A,58,19.3,1.61,46.6,R-Y59,B,141,30,96,406,141,30,1,0.9,1.1,4,9,16,9,702,6496
AD-CON-0459,Diagnostic Console Protective Cover,AD,ADAS & Diagnosis,Diagnostic Console,CON,Consumables & service kits,frequent,Medium,SUP-019,EU,3.52,Bin,Active,0.94,3.479,C,Anonymised/reconstructed warehouse transition dataset,B,56,18.7,1.56,47.49,R-G54,D,261,102,37,985,261,37,1,0.696,1,4,8,14,10,543,13790
WA-CON-0241,Exact Precision Filter Kit,WA,Wheel Aligner,Exact Precision,CON,Consumables & service kits,frequent,Medium,SUP-001,Italy,4.7,Bin,Active,0.94,4.414,C,Anonymised/reconstructed warehouse transition dataset,B,55,18.3,1.53,48.36,R-B55,D,190,136,35,904,190,35,1,0.883,1,6,11,15,5,689,13560
AD-CON-0798,Radar Calibration Lubrication Kit,AD,ADAS & Diagnosis,Radar Calibration,CON,Consumables & service kits,frequent,High,SUP-005,Eastern Europe,30.37,Bin,Active,0.97,3.648,A,Anonymised/reconstructed warehouse transition dataset,B,55,18.3,1.53,49.23,R-S24,B,73,48,87,305,87,48,1,0.73,1.4,11,17,24,8,570,7320
WB-CON-0165,Mobile Balancer O-Ring Kit,WB,Wheel Balancer,Mobile Balancer,CON,Consumables & service kits,frequent,Medium,SUP-002,Italy,34.17,Bin,Active,0.94,3.348,A,Anonymised/reconstructed warehouse transition dataset,B,55,18.3,1.53,50.09,R-E56,VER,1364,413,43,24223,1364,43,1,0.67,1,4,8,12,9,523,290676
AD-CON-0588,Radar Calibration O-Ring Kit,AD,ADAS & Diagnosis,Radar Calibration,CON,Consumables & service kits,frequent,Medium,SUP-013,North America,27.55,Bin,Active,0.94,3.219,A,Anonymised/reconstructed warehouse transition dataset,B,55,18.3,1.53,50.96,R-A36,F,583,214,49,6113,583,49,1,0.644,2.7,5,14,21,12,503,128373
AD-CON-0632,Diagnostic Console Service Seal Pack,AD,ADAS & Diagnosis,Diagnostic Console,CON,Consumables & service kits,frequent,Medium,SUP-013,North America,32.95,Bin,Phase-out,0.94,3.204,A,Anonymised/reconstructed warehouse transition dataset,B,53,17.7,1.47,51.8,R-S20,E,392,327,172,22048,392,172,0,0.641,2.7,9,18,30,26,500,661440
TE-CON-0893,Suspension Tester Grease Cartridge,TE,Technical Control,Suspension Tester,CON,Consumables & service kits,frequent,High,SUP-005,Eastern Europe,5.25,Bin,Active,0.97,4.339,C,Anonymised/reconstructed warehouse transition dataset,B,53,17.7,1.47,52.64,R-C81,D,172,158,119,3234,172,119,1,0.868,1.4,9,16,26,8,677,84084
AD-CON-0483,SCE Calibration Protective Cover,AD,ADAS & Diagnosis,SCE Calibration,CON,Consumables & service kits,frequent,Low,SUP-016,EU,5.34,Bin,Active,0.9,3.762,C,Anonymised/reconstructed warehouse transition dataset,B,51,17,1.42,53.45,R-P98,E,336,225,61,4612,336,61,1,0.752,1.1,6,11,18,7,587,83016
WB-CON-0087,ET Series Grease Cartridge,WB,Wheel Balancer,ET Series,CON,Consumables & service kits,frequent,High,SUP-004,EU,7.88,Bin,Active,0.97,3.395,B,Anonymised/reconstructed warehouse transition dataset,B,51,17,1.42,54.25,R-I26,B,83,83,91,627,91,83,1,0.679,1,9,13,19,21,530,11913
WB-CON-0665,EM 9000 Lubrication Kit,WB,Wheel Balancer,EM 9000,CON,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,8.89,Bin,Active,0.94,3.886,B,Anonymised/reconstructed warehouse transition dataset,B,50,16.7,1.39,55.04,R-B73,E,336,126,36,1524,336,36,1,0.777,1.6,5,12,18,15,607,27432
WB-CON-0763,Mobile Balancer Grease Cartridge,WB,Wheel Balancer,Mobile Balancer,CON,Consumables & service kits,frequent,Low,SUP-005,Eastern Europe,5.3,Bin,Active,0.9,3.975,C,Anonymised/reconstructed warehouse transition dataset,B,48,16,1.33,55.8,R-I40,B,100,93,14,130,100,14,1,0.795,1.4,9,15,24,23,621,3120
TC-CON-0981,HD1200 Truck O-Ring Kit,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Low,SUP-013,North America,24.6,Bin,Active,0.9,3.179,A,Anonymised/reconstructed warehouse transition dataset,B,47,15.7,1.31,56.54,R-Y01,E,349,280,15,1466,349,15,1,0.636,2.7,6,15,24,26,496,35184
TE-CON-0986,Suspension Tester Lubrication Kit,TE,Technical Control,Suspension Tester,CON,Consumables & service kits,frequent,Medium,SUP-016,EU,16.88,Bin,Active,0.94,3.53,B,Anonymised/reconstructed warehouse transition dataset,B,47,15.7,1.31,57.29,R-M42,B,23,23,5,3,23,5,1,0.706,1.1,6,10,14,10,551,42
WB-CON-0120,EM 9000 Rubber Pad,WB,Wheel Balancer,EM 9000,CON,Consumables & service kits,frequent,Medium,SUP-012,Italy,6.28,Bin,Active,0.94,3.782,C,Anonymised/reconstructed warehouse transition dataset,B,46,15.3,1.28,58.01,R-G35,E,190,297,49,2765,297,49,1,0.756,1,11,15,25,25,590,69125
TC-CON-0491,HD1200 Truck Protective Cover,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Medium,SUP-016,EU,2.7,Bin,Active,0.94,3.729,C,Anonymised/reconstructed warehouse transition dataset,B,45,15,1.25,58.72,R-C44,F,257,432,171,18985,432,171,1,0.746,1.1,5,10,14,11,582,265790
VL-CON-0898,ERCO Lift Protective Cover,VL,Vehicle Lift,ERCO Lift,CON,Consumables & service kits,frequent,High,SUP-008,EU,3.27,Bin,Active,0.97,4.548,C,Anonymised/reconstructed warehouse transition dataset,B,44,14.7,1.22,59.42,R-F98,B,55,142,47,367,142,47,1,0.91,1.1,11,17,26,12,710,9542
VL-CON-0279,Two-Post Lift Rubber Pad,VL,Vehicle Lift,Two-Post Lift,CON,Consumables & service kits,frequent,Medium,SUP-018,EU,2.28,Bin,New,0.94,3.654,C,Anonymised/reconstructed warehouse transition dataset,B,42,14,1.17,60.08,R-N19,D,106,111,87,1024,111,87,1,0.731,1.3,6,11,19,11,571,19456
TC-CON-0576,A2024 LL Service Seal Pack,TC,Tyre Changer,A2024 LL,CON,Consumables & service kits,frequent,Medium,SUP-006,EU,13.41,Bin,New,0.94,3.573,B,Anonymised/reconstructed warehouse transition dataset,B,40,13.3,1.11,60.71,R-E44,PALLET,1076,545,255,149537,1076,255,1,0.715,1,7,11,15,11,558,2243055
TC-CON-0433,HD1200 Truck O-Ring Kit,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Low,SUP-018,EU,25.82,Bin,Active,0.9,3.796,A,Anonymised/reconstructed warehouse transition dataset,B,39,13,1.08,61.33,R-Y61,D,236,95,108,2421,236,95,1,0.759,1.3,9,14,23,13,593,55683
WB-CON-0813,Eyelight Rubber Pad,WB,Wheel Balancer,Eyelight,CON,Consumables & service kits,frequent,Medium,SUP-019,EU,32.38,Bin,Active,0.94,3.386,A,Anonymised/reconstructed warehouse transition dataset,B,39,13,1.08,61.95,R-Y74,E,166,370,45,2764,370,45,1,0.677,1,10,14,21,12,529,58044
TC-CON-0699,HD1200 Truck Service Seal Pack,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Medium,SUP-012,Italy,7.21,Bin,Active,0.94,4.247,B,Anonymised/reconstructed warehouse transition dataset,B,38,12.7,1.06,62.55,R-Y47,D,83,244,26,527,244,26,1,0.849,1,12,17,23,14,663,12121
TC-CON-0347,A2024 LL Protective Cover,TC,Tyre Changer,A2024 LL,CON,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,18.94,Bin,Active,0.94,3.686,A,Anonymised/reconstructed warehouse transition dataset,B,37,12.3,1.03,63.13,R-N62,B,58,67,50,194,67,50,1,0.737,1.6,10,16,23,9,576,4462
TC-CON-0471,Basic Line TC Filter Kit,TC,Tyre Changer,Basic Line TC,CON,Consumables & service kits,frequent,Medium,SUP-013,North America,10.13,Bin,Phase-out,0.94,3.632,B,Anonymised/reconstructed warehouse transition dataset,B,37,12.3,1.03,63.72,R-T88,B,58,49,34,97,58,34,0,0.726,2.7,8,18,32,11,567,3104
WA-CON-0260,REMO Rubber Pad,WA,Wheel Aligner,REMO,CON,Consumables & service kits,frequent,Low,SUP-018,EU,19.25,Bin,Active,0.9,3.881,A,Anonymised/reconstructed warehouse transition dataset,B,36,12,1,64.29,R-H95,B,41,85,112,390,112,41,1,0.776,1.3,8,14,22,7,606,8580
TE-CON-0635,Test Lane O-Ring Kit,TE,Technical Control,Test Lane,CON,Consumables & service kits,frequent,Low,SUP-006,EU,9.25,Bin,Active,0.9,3.843,B,Anonymised/reconstructed warehouse transition dataset,B,36,12,1,64.85,R-Y87,E,387,341,50,6598,387,50,1,0.769,1,7,11,20,7,600,131960
WA-CON-0328,REMO Lubrication Kit,WA,Wheel Aligner,REMO,CON,Consumables & service kits,frequent,Medium,SUP-010,EU,31.24,Bin,Active,0.94,2.948,A,Anonymised/reconstructed warehouse transition dataset,B,35,11.7,0.97,65.41,R-E80,B,37,109,57,230,109,37,1,0.59,1.1,3,7,11,7,460,2530
TC-CON-0700,A2024 LL Lubrication Kit,TC,Tyre Changer,A2024 LL,CON,Consumables & service kits,frequent,Medium,SUP-018,EU,26.62,Bin,Active,0.94,3.085,A,Anonymised/reconstructed warehouse transition dataset,B,34,11.3,0.94,65.95,R-F72,D,278,80,136,3025,278,80,1,0.617,1.3,6,11,18,15,482,54450
VL-CON-0238,Scissor Lift Filter Kit,VL,Vehicle Lift,Scissor Lift,CON,Consumables & service kits,frequent,Medium,SUP-005,Eastern Europe,9.15,Bin,Active,0.94,4.236,B,Anonymised/reconstructed warehouse transition dataset,B,33,11,0.92,66.47,R-Z89,D,265,169,96,4299,265,96,1,0.847,1.4,14,20,30,13,661,128970
TC-CON-0067,Basic Line TC O-Ring Kit,TC,Tyre Changer,Basic Line TC,CON,Consumables & service kits,frequent,Medium,SUP-020,EU,13.72,Bin,Active,0.94,3.821,B,Anonymised/reconstructed warehouse transition dataset,B,32,10.7,0.89,66.97,R-N15,D,169,213,79,2844,213,79,1,0.764,1.3,8,13,19,22,597,54036
AD-CON-0771,Camera Calibration Air Filter,AD,ADAS & Diagnosis,Camera Calibration,CON,Consumables & service kits,frequent,Medium,SUP-015,EU,4.63,Bin,New,0.94,3.475,C,Anonymised/reconstructed warehouse transition dataset,B,32,10.7,0.89,67.48,R-I26,E,163,319,166,8632,319,163,1,0.695,1.4,6,11,16,17,543,138112
WA-CON-0741,3D Aligner Rubber Pad,WA,Wheel Aligner,3D Aligner,CON,Consumables & service kits,frequent,Medium,SUP-011,EU,19.86,Bin,Phase-out,0.94,3.909,A,Anonymised/reconstructed warehouse transition dataset,B,32,10.7,0.89,67.98,R-S32,PALLET,785,418,200,65626,785,200,0,0.782,1,11,15,23,18,610,1509398
TC-CON-0333,HD1200 Truck Service Seal Pack,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,High,SUP-012,Italy,2.18,Bin,Active,0.97,3.96,C,Anonymised/reconstructed warehouse transition dataset,B,31,10.3,0.86,68.47,R-L16,D,225,174,110,4306,225,110,1,0.792,1,5,9,14,14,618,60284
AD-CON-0592,Diagnostic Console Lubrication Kit,AD,ADAS & Diagnosis,Diagnostic Console,CON,Consumables & service kits,frequent,Medium,SUP-007,Eastern Europe,8.36,Bin,Active,0.94,3.638,B,Anonymised/reconstructed warehouse transition dataset,B,29,9.7,0.81,68.93,R-G17,E,149,368,47,2577,368,47,1,0.728,1.4,5,11,16,10,568,41232
VL-CON-0387,ERCO Lift Filter Kit,VL,Vehicle Lift,ERCO Lift,CON,Consumables & service kits,frequent,High,SUP-013,North America,4.44,Bin,Active,0.97,3.423,C,Anonymised/reconstructed warehouse transition dataset,B,29,9.7,0.81,69.39,R-G14,E,348,131,132,6018,348,131,1,0.685,2.7,13,23,33,9,534,198594
TC-CON-0740,Artiglio Master Protective Cover,TC,Tyre Changer,Artiglio Master,CON,Consumables & service kits,frequent,Medium,SUP-017,EU,12.19,Bin,Active,0.94,3.819,B,Anonymised/reconstructed warehouse transition dataset,B,29,9.7,0.81,69.85,R-S07,D,173,234,146,5910,234,146,1,0.764,1,6,10,15,17,596,88650
VL-CON-0350,Alignment Lift O-Ring Kit,VL,Vehicle Lift,Alignment Lift,CON,Consumables & service kits,frequent,High,SUP-016,EU,4.56,Bin,Active,0.97,3.77,C,Anonymised/reconstructed warehouse transition dataset,B,28,9.3,0.78,70.29,R-I48,F,495,584,95,27463,584,95,1,0.754,1.1,10,15,23,9,589,631649
TC-CON-0303,A2024 LL Lubrication Kit,TC,Tyre Changer,A2024 LL,CON,Consumables & service kits,frequent,Medium,SUP-005,Eastern Europe,6.75,Bin,Active,0.94,3.405,B,Anonymised/reconstructed warehouse transition dataset,B,27,9,0.75,70.72,R-H59,B,48,136,19,124,136,19,1,0.681,1.4,5,10,17,20,532,2108
VL-CON-0536,Two-Post Lift Rubber Pad,VL,Vehicle Lift,Two-Post Lift,CON,Consumables & service kits,frequent,Low,SUP-014,Eastern Europe,29.82,Bin,Active,0.9,3.687,A,Anonymised/reconstructed warehouse transition dataset,B,27,9,0.75,71.14,R-Z95,B,21,136,48,137,136,21,1,0.737,1.6,5,11,20,16,576,2740
VL-CON-0678,Two-Post Lift Grease Cartridge,VL,Vehicle Lift,Two-Post Lift,CON,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,15.41,Bin,Active,0.94,3.853,A,Anonymised/reconstructed warehouse transition dataset,B,26,8.7,0.72,71.55,R-G18,E,393,378,149,22135,393,149,1,0.771,1.6,5,12,18,10,602,398430
TC-CON-0795,Basic Line TC Rubber Pad,TC,Tyre Changer,Basic Line TC,CON,Consumables & service kits,frequent,Medium,SUP-004,EU,37.69,Bin,Active,0.94,2.992,A,Anonymised/reconstructed warehouse transition dataset,B,26,8.7,0.72,71.97,R-L17,D,250,245,117,7166,250,117,1,0.598,1,9,12,17,13,467,121822
WA-CON-0721,3D Aligner Grease Cartridge,WA,Wheel Aligner,3D Aligner,CON,Consumables & service kits,frequent,Medium,SUP-006,EU,3.04,Bin,Active,0.94,3.644,C,Anonymised/reconstructed warehouse transition dataset,B,25,8.3,0.69,72.36,R-Q31,E,214,130,82,2281,214,82,1,0.729,1,6,10,15,11,569,34215
WB-CON-0591,Eyelight Protective Cover,WB,Wheel Balancer,Eyelight,CON,Consumables & service kits,frequent,Low,SUP-007,Eastern Europe,9.01,Bin,Active,0.9,3.698,B,Anonymised/reconstructed warehouse transition dataset,B,25,8.3,0.69,72.76,R-C60,F,628,389,132,32247,628,132,1,0.74,1.4,5,11,20,5,577,644940
TC-CON-0773,Basic Line TC O-Ring Kit,TC,Tyre Changer,Basic Line TC,CON,Consumables & service kits,frequent,Low,SUP-003,EU,3.48,Bin,Active,0.9,3.94,C,Anonymised/reconstructed warehouse transition dataset,B,25,8.3,0.69,73.15,R-P98,B,117,112,92,1206,117,92,1,0.788,1,3,7,10,6,615,12060
WA-CON-0686,REMO Lubrication Kit,WA,Wheel Aligner,REMO,CON,Consumables & service kits,frequent,Low,SUP-009,Italy,2.59,Bin,New,0.9,3.634,C,Anonymised/reconstructed warehouse transition dataset,B,25,8.3,0.69,73.55,R-C37,F,271,351,146,13888,351,146,1,0.727,1,3,7,12,12,567,166656
TE-CON-0247,Test Lane O-Ring Kit,TE,Technical Control,Test Lane,CON,Consumables & service kits,frequent,High,SUP-001,Italy,12.44,Bin,Phase-out,0.97,4.127,B,Anonymised/reconstructed warehouse transition dataset,B,23,7.7,0.64,73.91,R-M40,D,213,249,34,1803,249,34,0,0.825,1,7,12,19,14,644,34257
WB-CON-0290,Mobile Balancer Protective Cover,WB,Wheel Balancer,Mobile Balancer,CON,Consumables & service kits,frequent,Critical,SUP-007,Eastern Europe,33.94,Bin,Active,0.985,3.1,A,Anonymised/reconstructed warehouse transition dataset,B,21,7,0.58,74.24,R-N39,D,264,164,64,2771,264,64,1,0.62,1.4,4,9,13,6,484,36023
VL-CON-0158,Two-Post Lift Air Filter,VL,Vehicle Lift,Two-Post Lift,CON,Consumables & service kits,frequent,Medium,SUP-008,EU,14.14,Bin,Active,0.94,3.808,B,Anonymised/reconstructed warehouse transition dataset,B,20,6.7,0.56,74.56,R-S04,D,223,174,151,5859,223,151,1,0.762,1.1,8,13,19,11,595,111321
VL-CON-0653,Scissor Lift Protective Cover,VL,Vehicle Lift,Scissor Lift,CON,Consumables & service kits,frequent,Medium,SUP-016,EU,2.63,Bin,Active,0.94,3.97,C,Anonymised/reconstructed warehouse transition dataset,B,20,6.7,0.56,74.87,R-P82,F,416,591,198,48679,591,198,1,0.794,1.1,8,13,19,21,620,924901
TC-CON-0376,HD1200 Truck Air Filter,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Medium,SUP-018,EU,3.54,Bin,Active,0.94,3.538,C,Anonymised/reconstructed warehouse transition dataset,B,19,6.3,0.53,75.17,R-A16,B,138,28,62,240,138,28,1,0.708,1.3,10,15,27,21,552,6480
WB-CON-0025,Eyelight Service Seal Pack,WB,Wheel Balancer,Eyelight,CON,Consumables & service kits,frequent,Low,SUP-004,EU,11.43,Bin,Phase-out,0.9,3.7,B,Anonymised/reconstructed warehouse transition dataset,B,19,6.3,0.53,75.47,R-P42,D,252,229,169,9753,252,169,0,0.74,1,7,11,17,13,578,165801
WB-CON-0195,Eyelight Grease Cartridge,WB,Wheel Balancer,Eyelight,CON,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,7.18,Bin,Active,0.94,3.818,B,Anonymised/reconstructed warehouse transition dataset,B,18,6,0.5,75.76,R-N66,D,276,121,62,2071,276,62,1,0.764,1.6,9,16,26,31,596,53846
TC-CON-0796,HD1200 Truck Filter Kit,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Medium,SUP-012,Italy,3.45,Bin,Active,0.94,4.067,C,Anonymised/reconstructed warehouse transition dataset,B,18,6,0.5,76.04,R-C42,E,370,242,125,11192,370,125,1,0.813,1,5,10,16,9,635,179072
TE-CON-0310,Brake Tester Rubber Pad,TE,Technical Control,Brake Tester,CON,Consumables & service kits,frequent,Medium,SUP-018,EU,18.47,Bin,Active,0.94,3.468,A,Anonymised/reconstructed warehouse transition dataset,B,17,5.7,0.47,76.31,R-B30,D,210,162,19,646,210,19,1,0.694,1.3,10,15,25,18,542,16150
TC-CON-0268,Artiglio Master Service Seal Pack,TC,Tyre Changer,Artiglio Master,CON,Consumables & service kits,frequent,Medium,SUP-001,Italy,15.04,Bin,Phase-out,0.94,3.531,B,Anonymised/reconstructed warehouse transition dataset,B,15,5,0.42,76.55,R-P13,B,111,48,83,442,111,48,0,0.706,1,9,13,21,22,551,9282
WB-CON-0135,ET Series Lubrication Kit,WB,Wheel Balancer,ET Series,CON,Consumables & service kits,frequent,Medium,SUP-015,EU,2.39,Bin,Active,0.94,3.985,C,Anonymised/reconstructed warehouse transition dataset,B,15,5,0.42,76.79,R-Z32,B,54,25,16,22,54,16,1,0.797,1.4,5,11,15,15,622,330
WB-CON-0217,ET Series Lubrication Kit,WB,Wheel Balancer,ET Series,CON,Consumables & service kits,frequent,Low,SUP-001,Italy,25.41,Bin,Active,0.9,3.359,A,Anonymised/reconstructed warehouse transition dataset,B,15,5,0.42,77.02,R-C39,B,130,57,81,600,130,57,1,0.672,1,8,12,18,9,525,10800
TC-CON-0190,HD1200 Truck Service Seal Pack,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Medium,SUP-016,EU,3.18,Bin,Active,0.94,4.166,C,Anonymised/reconstructed warehouse transition dataset,B,14,4.7,0.39,77.24,R-Q29,E,266,186,150,7421,266,150,1,0.833,1.1,4,9,13,5,650,96473
WB-CON-0925,Eyelight Air Filter,WB,Wheel Balancer,Eyelight,CON,Consumables & service kits,frequent,Low,SUP-007,Eastern Europe,29.25,Bin,Active,0.9,3.319,A,Anonymised/reconstructed warehouse transition dataset,B,13,4.3,0.36,77.45,R-Y93,B,27,141,88,335,141,27,1,0.664,1.4,3,8,14,13,518,4690
WB-CON-0912,Mobile Balancer Air Filter,WB,Wheel Balancer,Mobile Balancer,CON,Consumables & service kits,frequent,Low,SUP-005,Eastern Europe,14.46,Bin,New,0.9,3.725,B,Anonymised/reconstructed warehouse transition dataset,B,13,4.3,0.36,77.65,R-N57,B,104,64,12,80,104,12,1,0.745,1.4,4,10,14,7,582,1120
